Num_P,SNR,mu,r1,r2,BER
64,5.0,2,16,31,0.092350006
16,5.0,2,16,31,0.1126437783241272
8,5.0,2,16,31,0.1305437684059143
64,10.0,2,16,31,0.0351312756538391
16,10.0,2,16,31,0.045549988746643
8,10.0,2,16,31,0.057325005531311
64,15.0,2,16,31,0.0117812752723693
16,15.0,2,16,31,0.0176937580108642
8,15.0,2,16,31,0.0243124961853027
64,20.0,2,16,31,0.0055062770843505
16,20.0,2,16,31,0.0077000260353088
8,20.0,2,16,31,0.0131375193595886
64,25.0,2,16,31,0.0026437640190124
16,25.0,2,16,31,0.0038750171661376
8,25.0,2,16,31,0.0088375210762023
64,5.0,6,48,95,0.3073750138282776
16,5.0,6,48,95,0.3319770693778991
8,5.0,6,48,95,0.3656270503997803
64,10.0,6,48,95,0.2421728372573852
16,10.0,6,48,95,0.2687416672706604
8,10.0,6,48,95,0.2794229388236999
64,15.0,6,48,95,0.1867666244506836
16,15.0,6,48,95,0.2234875559806823
8,15.0,6,48,95,0.2332770228385925
64,20.0,6,48,95,0.151075005531311
16,20.0,6,48,95,0.1909687519073486
8,20.0,6,48,95,0.1999458074569702
64,25.0,6,48,95,0.1305916309356689
16,25.0,6,48,95,0.1633833050727844
8,25.0,6,48,95,0.1946125030517578
64,5.0,2,0,127,0.1118007898330688
64,5.0,2,0,15,0.089593768119812
64,5.0,2,32,47,0.09146249294281
64,5.0,2,48,63,0.093693733215332
64,5.0,2,64,79,0.0920937657356262
64,5.0,2,80,95,0.0918750166893005
64,5.0,2,96,111,0.0901749730110168
64,5.0,2,112,127,0.08806252479553223
